Sat\Lum,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,70,69,68,67,66,65,64,63,62,61,60,59,58,57,56,55,54,53,52,51,50,49,48,47,46,45,44,43,42,41,40,39,38,37,36,35,34,33,32,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1,0
1,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99,69,68,67,66,65,64,63,62,61,60,59,58,57,56,55,54,53,52,51,50,50,49,48,47,46,45,44,43,42,41,40,39,38,37,36,35,34,33,32,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1,0
2,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,98,69,68,67,66,65,64,63,62,61,60,59,58,57,56,55,54,53,52,51,50,49,48,47,46,45,44,43,42,41,40,39,38,37,36,35,34,33,32,31,30,29,28,27,26,25,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1,0
3,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,97,68,67,66,65,64,63,62,61,60,59,58,57,56,55,54,53,52,51,50,49,49,48,47,46,45,44,43,42,41,40,39,38,37,36,35,34,33,32,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1,0
4,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,96,67,66,65,64,63,62,61,60,60,59,58,57,56,55,54,53,52,51,50,49,48,47,46,45,44,43,42,41,40,39,38,37,36,36,35,34,33,32,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,12,11,10,9,8,7,6,5,4,3,2,1,0
5,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,95,67,66,65,64,63,62,61,60,59,58,57,56,55,54,53,52,51,50,49,48,48,47,46,45,44,43,42,41,40,39,38,37,36,35,34,33,32,31,30,29,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,10,9,8,7,6,5,4,3,2,1,0
6,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,94,66,65,64,63,62,61,60,59,58,57,56,55,55,54,53,52,51,50,49,48,47,46,45,44,43,42,41,40,39,39,38,37,36,35,34,33,32,31,30,29,28,27,26,25,24,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,8,7,6,5,4,3,2,1,0
7,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,93,65,64,63,62,61,60,60,59,58,57,56,55,54,53,52,51,50,49,48,47,47,46,45,44,43,42,41,40,39,38,37,36,35,34,33,33,32,31,30,29,28,27,26,25,24,23,22,21,20,20,19,18,17,16,15,14,13,12,11,10,9,8,7,7,6,5,4,3,2,1,0
8,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99,92,64,63,63,62,61,60,59,58,57,56,55,54,53,52,52,51,50,49,48,47,46,45,44,43,42,41,40,40,39,38,37,36,35,34,33,32,31,30,29,29,28,27,26,25,24,23,22,21,20,19,18,17,17,16,15,14,13,12,11,10,9,8,7,6,6,5,4,3,2,1,0
9,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,98,91,64,63,62,61,60,59,58,57,56,56,55,54,53,52,51,50,49,48,47,46,46,45,44,43,42,41,40,39,38,37,36,35,35,34,33,32,31,30,29,28,27,26,25,25,24,23,22,21,20,19,18,17,16,15,15,14,13,12,11,10,9,8,7,6,5,5,4,3,2,1,0
10,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,97,90,63,62,61,60,59,59,58,57,56,55,54,53,52,51,50,50,49,48,47,46,45,44,43,42,41,41,40,39,38,37,36,35,34,33,32,32,31,30,29,28,27,26,25,24,23,23,22,21,20,19,18,17,16,15,14,14,13,12,11,10,9,8,7,6,5,5,4,3,2,1,0
11,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,96,89,62,61,61,60,59,58,57,56,55,54,53,53,52,51,50,49,48,47,46,45,45,44,43,42,41,40,39,38,37,36,36,35,34,33,32,31,30,29,28,28,27,26,25,24,23,22,21,20,20,19,18,17,16,15,14,13,12,12,11,10,9,8,7,6,5,4,4,3,2,1,0
12,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,95,88,62,61,60,59,58,57,56,55,55,54,53,52,51,50,49,48,48,47,46,45,44,43,42,41,40,40,39,38,37,36,35,34,33,33,32,31,30,29,28,27,26,26,25,24,23,22,21,20,19,18,18,17,16,15,14,13,12,11,11,10,9,8,7,6,5,4,4,3,2,1,0
13,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,94,87,61,60,59,58,57,57,56,55,54,53,52,51,50,50,49,48,47,46,45,44,44,43,42,41,40,39,38,37,37,36,35,34,33,32,31,30,30,29,28,27,26,25,24,23,23,22,21,20,19,18,17,17,16,15,14,13,12,11,10,10,9,8,7,6,5,4,3,3,2,1,0
14,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,93,86,60,59,58,58,57,56,55,54,53,52,52,51,50,49,48,47,46,46,45,44,43,42,41,40,40,39,38,37,36,35,34,34,33,32,31,30,29,28,28,27,26,25,24,23,22,22,21,20,19,18,17,16,15,15,14,13,12,11,10,9,9,8,7,6,5,4,3,3,2,1,0
15,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,92,85,60,59,58,57,56,55,54,54,53,52,51,50,49,48,48,47,46,45,44,43,43,42,41,40,39,38,37,37,36,35,34,33,32,31,31,30,29,28,27,26,26,25,24,23,22,21,20,20,19,18,17,16,15,14,14,13,12,11,10,9,9,8,7,6,5,4,3,3,2,1,0
16,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,91,84,59,58,57,56,55,55,54,53,52,51,50,50,49,48,47,46,45,45,44,43,42,41,40,39,39,38,37,36,35,34,34,33,32,31,30,29,29,28,27,26,25,24,24,23,22,21,20,19,18,18,17,16,15,14,13,13,12,11,10,9,8,8,7,6,5,4,3,3,2,1,0
17,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,90,83,58,57,56,56,55,54,53,52,51,51,50,49,48,47,46,46,45,44,43,42,42,41,40,39,38,37,37,36,35,34,33,32,32,31,30,29,28,27,27,26,25,24,23,22,22,21,20,19,18,17,17,16,15,14,13,12,12,11,10,9,8,7,7,6,5,4,3,2,2,1,0
18,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,98,89,82,57,57,56,55,54,53,52,52,51,50,49,48,48,47,46,45,44,43,43,42,41,40,39,39,38,37,36,35,34,34,33,32,31,30,30,29,28,27,26,25,25,24,23,22,21,21,20,19,18,17,16,16,15,14,13,12,11,11,10,9,8,7,7,6,5,4,3,2,2,1,0
19,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,97,87,81,57,56,55,54,53,53,52,51,50,49,49,48,47,46,45,45,44,43,42,41,41,40,39,38,37,36,36,35,34,33,32,32,31,30,29,28,28,27,26,25,24,23,23,22,21,20,19,19,18,17,16,15,15,14,13,12,11,11,10,9,8,7,6,6,5,4,3,2,2,1,0
20,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,96,86,80,56,55,54,54,53,52,51,50,50,49,48,47,46,46,45,44,43,42,42,41,40,39,38,38,37,36,35,34,34,33,32,31,30,30,29,28,27,26,26,25,24,23,22,22,21,20,19,18,18,17,16,15,14,14,13,12,11,10,10,9,8,7,6,6,5,4,3,2,2,1,0
21,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,95,85,79,55,55,54,53,52,51,51,50,49,48,47,47,46,45,44,43,43,42,41,40,40,39,38,37,36,36,35,34,33,32,32,31,30,29,28,28,27,26,25,24,24,23,22,21,21,20,19,18,17,17,16,15,14,13,13,12,11,10,9,9,8,7,6,6,5,4,3,2,2,1,0
22,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,94,84,78,55,54,53,52,51,51,50,49,48,48,47,46,45,44,44,43,42,41,41,40,39,38,37,37,36,35,34,34,33,32,31,30,30,29,28,27,27,26,25,24,23,23,22,21,20,20,19,18,17,16,16,15,14,13,12,12,11,10,9,9,8,7,6,5,5,4,3,2,2,1,0
23,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,92,83,77,54,53,52,52,51,50,49,49,48,47,46,45,45,44,43,42,42,41,40,39,39,38,37,36,35,35,34,33,32,32,31,30,29,28,28,27,26,25,25,24,23,22,22,21,20,19,18,18,17,16,15,15,14,13,12,12,11,10,9,8,8,7,6,5,5,4,3,2,2,1,0
24,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,91,82,76,53,52,52,51,50,49,49,48,47,46,46,45,44,43,43,42,41,40,40,39,38,37,36,36,35,34,33,33,32,31,30,30,29,28,27,27,26,25,24,24,23,22,21,21,20,19,18,17,17,16,15,14,14,13,12,11,11,10,9,8,8,7,6,5,5,4,3,2,2,1,0
25,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,90,81,75,53,52,51,50,50,49,48,47,47,46,45,44,44,43,42,41,41,40,39,38,38,37,36,35,35,34,33,32,32,31,30,29,29,28,27,26,26,25,24,23,23,22,21,20,20,19,18,17,17,16,15,14,14,13,12,11,11,10,9,8,8,7,6,5,5,4,3,2,2,1,0
26,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,89,80,74,52,51,50,50,49,48,47,47,46,45,44,44,43,42,41,41,40,39,38,38,37,36,36,35,34,33,33,32,31,30,30,29,28,27,27,26,25,24,24,23,22,21,21,20,19,19,18,17,16,16,15,14,13,13,12,11,10,10,9,8,7,7,6,5,4,4,3,2,1,1,0
27,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99,88,79,73,51,50,50,49,48,47,47,46,45,45,44,43,42,42,41,40,39,39,38,37,37,36,35,34,34,33,32,31,31,30,29,28,28,27,26,26,25,24,23,23,22,21,20,20,19,18,18,17,16,15,15,14,13,12,12,11,10,9,9,8,7,7,6,5,4,4,3,2,1,1,0
28,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,97,86,78,72,50,50,49,48,48,47,46,45,45,44,43,42,42,41,40,40,39,38,37,37,36,35,35,34,33,32,32,31,30,30,29,28,27,27,26,25,24,24,23,22,22,21,20,19,19,18,17,17,16,15,14,14,13,12,12,11,10,9,9,8,7,6,6,5,4,4,3,2,1,1,0
29,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,96,85,77,71,50,49,48,48,47,46,45,45,44,43,43,42,41,40,40,39,38,38,37,36,36,35,34,33,33,32,31,31,30,29,28,28,27,26,26,25,24,23,23,22,21,21,20,19,18,18,17,16,16,15,14,13,13,12,11,11,10,9,9,8,7,6,6,5,4,4,3,2,1,1,0
30,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,95,84,76,70,49,48,48,47,46,46,45,44,43,43,42,41,41,40,39,39,38,37,36,36,35,34,34,33,32,32,31,30,29,29,28,27,27,26,25,25,24,23,22,22,21,20,20,19,18,18,17,16,15,15,14,13,13,12,11,11,10,9,8,8,7,6,6,5,4,4,3,2,1,1,0
31,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,93,83,75,69,48,48,47,46,46,45,44,43,43,42,41,41,40,39,39,38,37,37,36,35,35,34,33,32,32,31,30,30,29,28,28,27,26,26,25,24,23,23,22,21,21,20,19,19,18,17,17,16,15,14,14,13,12,12,11,10,10,9,8,8,7,6,6,5,4,3,3,2,1,1,0
32,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,92,82,73,68,48,47,46,46,45,44,44,43,42,41,41,40,39,39,38,37,37,36,35,35,34,33,33,32,31,31,30,29,29,28,27,27,26,25,24,24,23,22,22,21,20,20,19,18,18,17,16,16,15,14,14,13,12,12,11,10,10,9,8,7,7,6,5,5,4,3,3,2,1,1,0
33,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,90,80,72,67,47,46,46,45,44,44,43,42,42,41,40,40,39,38,38,37,36,36,35,34,34,33,32,31,31,30,29,29,28,27,27,26,25,25,24,23,23,22,21,21,20,19,19,18,17,17,16,15,15,14,13,13,12,11,11,10,9,9,8,7,7,6,5,5,4,3,3,2,1,1,0
34,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,89,79,71,66,46,46,45,44,44,43,42,42,41,40,40,39,38,38,37,36,36,35,34,34,33,32,32,31,30,30,29,28,28,27,26,26,25,24,24,23,22,22,21,20,20,19,18,18,17,17,16,15,15,14,13,13,12,11,11,10,9,9,8,7,7,6,5,5,4,3,3,2,1,1,0
35,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99,88,78,70,65,46,45,44,44,43,42,42,41,40,40,39,38,38,37,36,36,35,34,34,33,33,32,31,31,30,29,29,28,27,27,26,25,25,24,23,23,22,21,21,20,20,19,18,18,17,16,16,15,14,14,13,12,12,11,10,10,9,8,8,7,7,6,5,5,4,3,3,2,1,1,0
36,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,98,86,77,69,64,45,44,44,43,42,42,41,40,40,39,38,38,37,36,36,35,35,34,33,33,32,31,31,30,29,29,28,28,27,26,26,25,24,24,23,22,22,21,20,20,19,19,18,17,17,16,15,15,14,13,13,12,12,11,10,10,9,8,8,7,6,6,5,4,4,3,3,2,1,1,0
37,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,96,85,76,68,63,44,43,43,42,42,41,40,40,39,38,38,37,37,36,35,35,34,33,33,32,32,31,30,30,29,28,28,27,26,26,25,25,24,23,23,22,21,21,20,20,19,18,18,17,16,16,15,14,14,13,13,12,11,11,10,9,9,8,8,7,6,6,5,4,4,3,3,2,1,1,0
38,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,98,95,84,74,67,62,43,43,42,42,41,40,40,39,38,38,37,37,36,35,35,34,33,33,32,32,31,30,30,29,29,28,27,27,26,25,25,24,24,23,22,22,21,20,20,19,19,18,17,17,16,16,15,14,14,13,12,12,11,11,10,9,9,8,7,7,6,6,5,4,4,3,2,2,1,1,0
39,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99,96,93,82,73,66,61,43,42,41,41,40,40,39,38,38,37,37,36,35,35,34,34,33,32,32,31,31,30,29,29,28,27,27,26,26,25,24,24,23,23,22,21,21,20,20,19,18,18,17,16,16,15,15,14,13,13,12,12,11,10,10,9,9,8,7,7,6,5,5,4,4,3,2,2,1,1,0
40,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,98,95,92,81,72,65,60,42,41,41,40,40,39,38,38,37,37,36,35,35,34,34,33,32,32,31,31,30,29,29,28,28,27,26,26,25,25,24,23,23,22,22,21,20,20,19,19,18,17,17,16,16,15,14,14,13,13,12,11,11,10,10,9,8,8,7,7,6,5,5,4,4,3,2,2,1,1,0
41,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,96,93,90,80,71,64,59,41,41,40,40,39,38,38,37,37,36,35,35,34,34,33,32,32,31,31,30,30,29,28,28,27,27,26,25,25,24,24,23,22,22,21,21,20,19,19,18,18,17,17,16,15,15,14,14,13,12,12,11,11,10,9,9,8,8,7,6,6,5,5,4,4,3,2,2,1,1,0
42,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,98,95,92,89,78,70,63,58,41,40,39,39,38,38,37,37,36,35,35,34,34,33,32,32,31,31,30,30,29,28,28,27,27,26,26,25,24,24,23,23,22,21,21,20,20,19,19,18,17,17,16,16,15,15,14,13,13,12,12,11,10,10,9,9,8,8,7,6,6,5,5,4,3,3,2,2,1,1,0
43,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,96,93,90,87,77,68,62,57,40,39,39,38,38,37,36,36,35,35,34,34,33,32,32,31,31,30,30,29,29,28,27,27,26,26,25,25,24,23,23,22,22,21,21,20,19,19,18,18,17,17,16,15,15,14,14,13,13,12,11,11,10,10,9,9,8,7,7,6,6,5,5,4,3,3,2,2,1,1,0
44,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,98,95,91,88,86,76,67,60,56,39,39,38,38,37,36,36,35,35,34,34,33,32,32,31,31,30,30,29,29,28,27,27,26,26,25,25,24,24,23,22,22,21,21,20,20,19,18,18,17,17,16,16,15,15,14,13,13,12,12,11,11,10,10,9,8,8,7,7,6,6,5,4,4,3,3,2,2,1,1,0
45,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99,96,93,90,87,84,74,66,59,55,39,38,37,37,36,36,35,35,34,34,33,32,32,31,31,30,30,29,29,28,28,27,26,26,25,25,24,24,23,23,22,21,21,20,20,19,19,18,18,17,17,16,15,15,14,14,13,13,12,12,11,10,10,9,9,8,8,7,7,6,6,5,4,4,3,3,2,2,1,1,0
