Sat\Lum,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
46,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,97,95,91,88,85,83,73,65,58,54,38,37,37,36,36,35,35,34,33,33,32,32,31,31,30,30,29,29,28,28,27,26,26,25,25,24,24,23,23,22,22,21,21,20,19,19,18,18,17,17,16,16,15,15,14,14,13,12,12,11,11,10,10,9,9,8,8,7,6,6,5,5,4,4,3,3,2,2,1,1,0
47,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,95,93,90,86,84,81,72,64,57,53,37,37,36,36,35,34,34,33,33,32,32,31,31,30,30,29,29,28,28,27,27,26,25,25,24,24,23,23,22,22,21,21,20,20,19,19,18,17,17,16,16,15,15,14,14,13,13,12,12,11,11,10,10,9,8,8,7,7,6,6,5,5,4,4,3,3,2,2,1,1,0
48,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,94,91,88,85,82,80,70,62,56,52,36,36,35,35,34,34,33,33,32,32,31,31,30,30,29,29,28,28,27,27,26,25,25,24,24,23,23,22,22,21,21,20,20,19,19,18,18,17,17,16,16,15,15,14,14,13,12,12,11,11,10,10,9,9,8,8,7,7,6,6,5,5,4,4,3,3,2,2,1,1,0
49,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,92,89,86,83,81,78,69,61,55,51,36,35,35,34,34,33,33,32,32,31,31,30,30,29,29,28,28,27,27,26,26,25,24,24,23,23,22,22,21,21,20,20,19,19,18,18,17,17,16,16,15,15,14,14,13,13,12,12,11,11,10,10,9,9,8,8,7,7,6,6,5,5,4,4,3,3,2,2,1,1,0
50,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,90,88,85,82,79,77,68,60,54,50,35,35,34,34,33,33,32,32,31,31,30,30,29,29,28,28,27,27,26,26,25,25,24,24,23,23,22,22,21,21,20,20,19,19,18,18,17,17,16,16,15,15,14,14,13,13,12,12,11,11,10,10,9,9,8,8,7,7,6,6,5,5,4,4,3,3,2,2,1,1,0
51,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,98,88,86,83,80,77,75,66,59,53,49,34,34,33,33,32,32,31,31,30,30,29,29,28,28,27,27,26,26,25,25,25,24,24,23,23,22,22,21,21,20,20,19,19,18,18,17,17,16,16,15,15,14,14,13,13,12,12,11,11,10,10,9,9,8,8,7,7,6,6,5,5,4,4,3,3,2,2,1,1,0,0
52,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,96,86,84,81,78,76,73,65,58,52,48,34,33,33,32,32,31,31,30,30,29,29,28,28,27,27,26,26,25,25,24,24,24,23,23,22,22,21,21,20,20,19,19,18,18,17,17,16,16,15,15,14,14,13,13,12,12,12,11,11,10,10,9,9,8,8,7,7,6,6,5,5,4,4,3,3,2,2,1,1,0,0
53,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,94,85,82,79,77,74,72,63,56,51,47,33,32,32,31,31,31,30,30,29,29,28,28,27,27,26,26,25,25,24,24,24,23,23,22,22,21,21,20,20,19,19,18,18,17,17,16,16,16,15,15,14,14,13,13,12,12,11,11,10,10,9,9,8,8,8,7,7,6,6,5,5,4,4,3,3,2,2,1,1,0,0
54,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,92,83,81,78,75,73,70,62,55,50,46,32,32,31,31,30,30,29,29,29,28,28,27,27,26,26,25,25,24,24,23,23,23,22,22,21,21,20,20,19,19,18,18,17,17,17,16,16,15,15,14,14,13,13,12,12,12,11,11,10,10,9,9,8,8,7,7,6,6,6,5,5,4,4,3,3,2,2,1,1,0,0
55,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,90,81,79,76,73,71,69,61,54,49,45,32,31,31,30,30,29,29,28,28,27,27,27,26,26,25,25,24,24,23,23,23,22,22,21,21,20,20,19,19,18,18,18,17,17,16,16,15,15,14,14,14,13,13,12,12,11,11,10,10,9,9,9,8,8,7,7,6,6,5,5,5,4,4,3,3,2,2,1,1,0,0
56,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,88,79,77,74,72,70,67,59,53,48,44,31,30,30,29,29,29,28,28,27,27,26,26,26,25,25,24,24,23,23,22,22,22,21,21,20,20,19,19,18,18,18,17,17,16,16,15,15,15,14,14,13,13,12,12,11,11,11,10,10,9,9,8,8,7,7,7,6,6,5,5,4,4,4,3,3,2,2,1,1,0,0
57,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99,86,77,75,73,70,68,66,58,52,46,43,30,30,29,29,28,28,28,27,27,26,26,25,25,25,24,24,23,23,22,22,22,21,21,20,20,19,19,18,18,18,17,17,16,16,15,15,15,14,14,13,13,12,12,12,11,11,10,10,9,9,9,8,8,7,7,6,6,6,5,5,4,4,3,3,3,2,2,1,1,0,0
58,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,97,84,76,74,71,68,66,64,57,50,45,42,29,29,29,28,28,27,27,26,26,26,25,25,24,24,24,23,23,22,22,21,21,21,20,20,19,19,18,18,18,17,17,16,16,16,15,15,14,14,13,13,13,12,12,11,11,11,10,10,9,9,8,8,8,7,7,6,6,5,5,5,4,4,3,3,3,2,2,1,1,0,0
59,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,94,82,74,72,69,67,65,63,55,49,44,41,29,28,28,27,27,27,26,26,25,25,25,24,24,23,23,23,22,22,21,21,21,20,20,19,19,18,18,18,17,17,16,16,16,15,15,14,14,14,13,13,12,12,11,11,11,10,10,9,9,9,8,8,7,7,7,6,6,5,5,5,4,4,3,3,2,2,2,1,1,0,0
60,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,92,80,72,70,68,65,63,61,54,48,43,40,28,28,27,27,26,26,26,25,25,24,24,24,23,23,22,22,22,21,21,20,20,20,19,19,18,18,18,17,17,16,16,16,15,15,14,14,14,13,13,12,12,12,11,11,10,10,10,9,9,8,8,8,7,7,6,6,6,5,5,4,4,4,3,3,2,2,2,1,1,0,0
61,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,90,78,70,68,66,64,62,60,53,47,42,39,27,27,27,26,26,25,25,25,24,24,23,23,23,22,22,21,21,21,20,20,20,19,19,18,18,18,17,17,16,16,16,15,15,14,14,14,13,13,12,12,12,11,11,11,10,10,9,9,9,8,8,7,7,7,6,6,5,5,5,4,4,4,3,3,2,2,2,1,1,0,0
62,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,87,76,68,67,64,62,60,58,51,46,41,38,27,26,26,25,25,25,24,24,24,23,23,22,22,22,21,21,21,20,20,19,19,19,18,18,17,17,17,16,16,16,15,15,14,14,14,13,13,13,12,12,11,11,11,10,10,10,9,9,8,8,8,7,7,6,6,6,5,5,5,4,4,3,3,3,2,2,2,1,1,0,0
63,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,85,74,67,65,63,60,58,57,50,44,40,37,26,26,25,25,24,24,24,23,23,23,22,22,21,21,21,20,20,20,19,19,19,18,18,17,17,17,16,16,16,15,15,14,14,14,13,13,13,12,12,11,11,11,10,10,10,9,9,9,8,8,7,7,7,6,6,6,5,5,4,4,4,3,3,3,2,2,1,1,1,0,0
64,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,97,83,72,65,63,61,59,57,55,49,43,39,36,25,25,24,24,24,23,23,23,22,22,22,21,21,21,20,20,19,19,19,18,18,18,17,17,17,16,16,15,15,15,14,14,14,13,13,13,12,12,12,11,11,10,10,10,9,9,9,8,8,8,7,7,6,6,6,5,5,5,4,4,4,3,3,3,2,2,1,1,1,0,0
65,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,95,81,70,63,61,59,57,55,54,47,42,38,35,25,24,24,23,23,23,22,22,22,21,21,21,20,20,20,19,19,19,18,18,18,17,17,16,16,16,15,15,15,14,14,14,13,13,13,12,12,12,11,11,11,10,10,9,9,9,8,8,8,7,7,7,6,6,6,5,5,5,4,4,4,3,3,2,2,2,1,1,1,0,0
66,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,92,78,68,61,60,57,55,54,52,46,41,37,34,24,23,23,23,22,22,22,21,21,21,20,20,20,19,19,19,18,18,18,17,17,17,16,16,16,15,15,15,14,14,14,13,13,13,12,12,12,11,11,11,10,10,10,9,9,9,8,8,7,7,7,6,6,6,5,5,5,4,4,4,3,3,3,2,2,2,1,1,1,0,0
67,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,89,76,66,59,58,56,54,52,50,45,40,36,33,23,23,22,22,22,21,21,21,20,20,20,19,19,19,18,18,18,17,17,17,17,16,16,16,15,15,15,14,14,14,13,13,13,12,12,12,11,11,11,10,10,10,9,9,9,8,8,8,7,7,7,6,6,6,5,5,5,4,4,4,3,3,3,2,2,2,1,1,1,0,0
68,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,86,74,64,58,56,54,52,51,49,43,38,35,32,22,22,22,21,21,21,20,20,20,20,19,19,19,18,18,18,17,17,17,16,16,16,15,15,15,14,14,14,13,13,13,12,12,12,12,11,11,11,10,10,10,9,9,9,8,8,8,7,7,7,6,6,6,5,5,5,4,4,4,4,3,3,3,2,2,2,1,1,1,0,0
69,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99,84,71,62,56,54,52,51,49,47,42,37,33,31,22,21,21,21,20,20,20,20,19,19,19,18,18,18,17,17,17,16,16,16,16,15,15,15,14,14,14,13,13,13,12,12,12,11,11,11,11,10,10,10,9,9,9,8,8,8,7,7,7,7,6,6,6,5,5,5,4,4,4,3,3,3,2,2,2,2,1,1,1,0,0
70,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,96,81,69,60,54,53,51,49,47,46,41,36,32,30,21,21,20,20,20,20,19,19,19,18,18,18,17,17,17,17,16,16,16,15,15,15,14,14,14,14,13,13,13,12,12,12,11,11,11,11,10,10,10,9,9,9,8,8,8,8,7,7,7,6,6,6,5,5,5,5,4,4,4,3,3,3,2,2,2,2,1,1,1,0,0
71,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,93,78,67,58,52,51,49,47,46,44,39,35,31,29,20,20,20,19,19,19,19,18,18,18,17,17,17,17,16,16,16,15,15,15,15,14,14,14,13,13,13,12,12,12,12,11,11,11,10,10,10,10,9,9,9,8,8,8,8,7,7,7,6,6,6,6,5,5,5,4,4,4,3,3,3,3,2,2,2,1,1,1,1,0,0
72,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,90,76,64,56,50,49,47,46,44,43,38,34,30,28,20,19,19,19,18,18,18,18,17,17,17,17,16,16,16,15,15,15,15,14,14,14,13,13,13,13,12,12,12,11,11,11,11,10,10,10,10,9,9,9,8,8,8,8,7,7,7,6,6,6,6,5,5,5,4,4,4,4,3,3,3,3,2,2,2,1,1,1,1,0,0
73,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,86,73,62,54,49,47,46,44,43,41,36,32,29,27,19,19,18,18,18,18,17,17,17,16,16,16,16,15,15,15,15,14,14,14,14,13,13,13,12,12,12,12,11,11,11,11,10,10,10,9,9,9,9,8,8,8,8,7,7,7,6,6,6,6,5,5,5,5,4,4,4,4,3,3,3,2,2,2,2,1,1,1,1,0,0
74,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,83,70,60,52,47,46,44,42,41,40,35,31,28,26,18,18,18,17,17,17,17,16,16,16,16,15,15,15,15,14,14,14,14,13,13,13,12,12,12,12,11,11,11,11,10,10,10,10,9,9,9,9,8,8,8,8,7,7,7,7,6,6,6,5,5,5,5,4,4,4,4,3,3,3,3,2,2,2,2,1,1,1,1,0,0
75,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,80,68,58,50,45,44,42,41,40,38,34,30,27,25,18,17,17,17,17,16,16,16,16,15,15,15,15,14,14,14,14,13,13,13,13,12,12,12,12,11,11,11,11,10,10,10,10,9,9,9,9,8,8,8,8,7,7,7,7,6,6,6,6,5,5,5,5,4,4,4,4,3,3,3,3,2,2,2,2,1,1,1,1,0,0
76,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,96,77,65,55,48,43,42,41,39,38,37,32,29,26,24,17,17,16,16,16,16,15,15,15,15,14,14,14,14,13,13,13,13,12,12,12,12,12,11,11,11,11,10,10,10,10,9,9,9,9,8,8,8,8,7,7,7,7,6,6,6,6,6,5,5,5,5,4,4,4,4,3,3,3,3,2,2,2,2,1,1,1,1,0,0,0
77,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,92,74,62,53,46,41,40,39,37,36,35,31,28,25,23,16,16,16,15,15,15,15,14,14,14,14,14,13,13,13,13,12,12,12,12,12,11,11,11,11,10,10,10,10,9,9,9,9,9,8,8,8,8,7,7,7,7,6,6,6,6,6,5,5,5,5,4,4,4,4,3,3,3,3,3,2,2,2,2,1,1,1,1,0,0,0
78,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,88,70,59,51,44,40,39,37,36,35,34,30,26,24,22,15,15,15,15,15,14,14,14,14,13,13,13,13,13,12,12,12,12,11,11,11,11,11,10,10,10,10,9,9,9,9,9,8,8,8,8,7,7,7,7,7,6,6,6,6,6,5,5,5,5,4,4,4,4,4,3,3,3,3,2,2,2,2,2,1,1,1,1,0,0,0
79,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,84,67,57,48,42,38,37,35,34,33,32,28,25,23,21,15,14,14,14,14,14,13,13,13,13,13,12,12,12,12,12,11,11,11,11,11,10,10,10,10,9,9,9,9,9,8,8,8,8,8,7,7,7,7,7,6,6,6,6,5,5,5,5,5,4,4,4,4,4,3,3,3,3,3,2,2,2,2,1,1,1,1,1,0,0,0
80,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,80,64,54,46,40,36,35,34,33,32,31,27,24,22,20,14,14,14,13,13,13,13,13,12,12,12,12,12,11,11,11,11,11,10,10,10,10,10,9,9,9,9,9,8,8,8,8,8,7,7,7,7,7,6,6,6,6,6,5,5,5,5,5,4,4,4,4,4,3,3,3,3,3,2,2,2,2,2,1,1,1,1,1,0,0,0
81,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,76,61,51,44,38,34,33,32,31,30,29,26,23,21,19,13,13,13,13,13,12,12,12,12,12,11,11,11,11,11,10,10,10,10,10,10,9,9,9,9,9,8,8,8,8,8,7,7,7,7,7,6,6,6,6,6,6,5,5,5,5,5,4,4,4,4,4,3,3,3,3,3,2,2,2,2,2,2,1,1,1,1,1,0,0,0
82,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,72,58,49,41,36,32,32,30,29,28,28,24,22,19,18,13,12,12,12,12,12,12,11,11,11,11,11,10,10,10,10,10,10,9,9,9,9,9,8,8,8,8,8,8,7,7,7,7,7,6,6,6,6,6,6,5,5,5,5,5,5,4,4,4,4,4,3,3,3,3,3,3,2,2,2,2,2,1,1,1,1,1,1,0,0,0
83,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,68,54,46,39,34,31,30,29,28,27,26,23,20,18,17,12,12,12,11,11,11,11,11,11,10,10,10,10,10,10,9,9,9,9,9,9,8,8,8,8,8,7,7,7,7,7,7,6,6,6,6,6,6,5,5,5,5,5,5,4,4,4,4,4,4,3,3,3,3,3,3,2,2,2,2,2,2,1,1,1,1,1,1,0,0,0
84,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,64,51,43,37,32,29,28,27,26,25,24,22,19,17,16,11,11,11,11,11,10,10,10,10,10,10,9,9,9,9,9,9,8,8,8,8,8,8,8,7,7,7,7,7,7,6,6,6,6,6,6,5,5,5,5,5,5,4,4,4,4,4,4,4,3,3,3,3,3,3,2,2,2,2,2,2,1,1,1,1,1,1,0,0,0,0
85,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,60,48,41,35,30,27,26,25,24,24,23,20,18,16,15,11,10,10,10,10,10,10,9,9,9,9,9,9,9,8,8,8,8,8,8,8,7,7,7,7,7,7,6,6,6,6,6,6,6,5,5,5,5,5,5,5,4,4,4,4,4,4,3,3,3,3,3,3,3,2,2,2,2,2,2,2,1,1,1,1,1,1,0,0,0,0
86,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,56,45,38,32,28,25,25,24,23,22,21,19,17,15,14,10,10,10,9,9,9,9,9,9,9,8,8,8,8,8,8,8,7,7,7,7,7,7,7,6,6,6,6,6,6,6,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,2,2,2,2,2,2,2,1,1,1,1,1,1,1,0,0,0,0
87,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,52,42,35,30,26,23,23,22,21,21,20,18,16,14,13,9,9,9,9,9,8,8,8,8,8,8,8,8,7,7,7,7,7,7,7,7,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,0,0,0,0
88,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,48,38,32,28,24,22,21,20,20,19,18,16,14,13,12,8,8,8,8,8,8,8,8,7,7,7,7,7,7,7,7,6,6,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,0,0,0,0,0
89,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,44,35,30,25,22,20,19,19,18,17,17,15,13,12,11,8,8,7,7,7,7,7,7,7,7,7,6,6,6,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,0,0,0,0,0
90,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,40,32,27,23,20,18,18,17,16,16,15,14,12,11,10,7,7,7,7,7,7,6,6,6,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
91,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,36,29,24,21,18,16,16,15,15,14,14,12,11,10,9,6,6,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0
92,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,32,26,22,18,16,14,14,14,13,13,12,11,10,9,8,6,6,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0
93,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,28,22,19,16,14,13,12,12,11,11,11,9,8,8,7,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
94,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,24,19,16,14,12,11,11,10,10,9,9,8,7,6,6,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
95,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,20,16,14,12,10,9,9,8,8,8,8,7,6,5,5,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
96,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,16,13,11,9,8,7,7,7,7,6,6,5,5,4,4,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
97,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,12,10,8,7,6,5,5,5,5,5,5,4,4,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,8,6,5,5,4,4,4,3,3,3,3,3,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,4,3,3,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
